longitude,latitude,Level_0_(pieces/m3),Level_1_(pieces/m3),Level_2p_(pieces/km2)
-180.0,-90.0,0.0,0.0,0.0
-178.0,-90.0,0.0,0.0,0.0
-176.0,-90.0,0.0,0.0,0.0
-174.0,-90.0,0.0,0.0,0.0
-172.0,-90.0,0.0,0.0,0.0
-170.0,-90.0,0.0,0.0,0.0
-168.0,-90.0,0.0,0.0,0.0
-166.0,-90.0,0.0,0.0,0.0
-164.0,-90.0,0.0,0.0,0.0
-162.0,-90.0,0.0,0.0,0.0
-160.0,-90.0,0.0,0.0,0.0
-158.0,-90.0,0.0,0.0,0.0
-156.0,-90.0,0.0,0.0,0.0
-154.0,-90.0,0.0,0.0,0.0
-152.0,-90.0,0.0,0.0,0.0
-150.0,-90.0,0.0,0.0,0.0
-148.0,-90.0,0.0,0.0,0.0
-146.0,-90.0,0.0,0.0,0.0
-144.0,-90.0,0.0,0.0,0.0
-142.0,-90.0,0.0,0.0,0.0
-140.0,-90.0,0.0,0.0,0.0
-138.0,-90.0,0.0,0.0,0.0
-136.0,-90.0,0.0,0.0,0.0
-134.0,-90.0,0.0,0.0,0.0
-132.0,-90.0,0.0,0.0,0.0
-130.0,-90.0,0.0,0.0,0.0
-128.0,-90.0,0.0,0.0,0.0
-126.0,-90.0,0.0,0.0,0.0
-124.0,-90.0,0.0,0.0,0.0
-122.0,-90.0,0.0,0.0,0.0
-120.0,-90.0,0.0,0.0,0.0
-118.0,-90.0,0.0,0.0,0.0
-116.0,-90.0,0.0,0.0,0.0
-114.0,-90.0,0.0,0.0,0.0
-112.0,-90.0,0.0,0.0,0.0
-110.0,-90.0,0.0,0.0,0.0
-108.0,-90.0,0.0,0.0,0.0
-106.0,-90.0,0.0,0.0,0.0
-104.0,-90.0,0.0,0.0,0.0
-102.0,-90.0,0.0,0.0,0.0
-100.0,-90.0,0.0,0.0,0.0
-98.0,-90.0,0.0,0.0,0.0
-96.0,-90.0,0.0,0.0,0.0
-94.0,-90.0,0.0,0.0,0.0
-92.0,-90.0,0.0,0.0,0.0
-90.0,-90.0,0.0,0.0,0.0
-88.0,-90.0,0.0,0.0,0.0
-86.0,-90.0,0.0,0.0,0.0
-84.0,-90.0,0.0,0.0,0.0
-82.0,-90.0,0.0,0.0,0.0
-80.0,-90.0,0.0,0.0,0.0
-78.0,-90.0,0.0,0.0,0.0
-76.0,-90.0,0.0,0.0,0.0
-74.0,-90.0,0.0,0.0,0.0
-72.0,-90.0,-1.69664055997e-313,-1.70921358155e-313,-6.908889197620188e-308
-70.0,-90.0,-2.440447983929998e-299,-2.4572246631527873e-299,-9.931991133817026e-294
-68.0,-90.0,-1.1775227955995113e-288,-1.1849858857469472e-288,-4.789377309835925e-283
-66.0,-90.0,-1.905838379861532e-281,-1.9168940928308506e-281,-7.746982494439058e-276
-64.0,-90.0,-1.0347044409654173e-277,-1.0401503677594333e-277,-4.2033208668222804e-272
-62.0,-90.0,-1.884326383468454e-277,-1.8932291013989616e-277,-7.649869736300338e-272
-60.0,-90.0,-1.1510682592052672e-280,-1.155885176001625e-280,-4.669942051711274e-275
-58.0,-90.0,-2.358555756246098e-287,-2.367148681614988e-287,-9.562216809231584e-282
-56.0,-90.0,-2.842618494204252e-294,-2.8180172520674982e-294,-4.4729564875791715e-292
-54.0,-90.0,-3.5776275003187944e-296,-3.5449695266452526e-296,2.6364902476519826e-294
-52.0,-90.0,-1.5113447300639709e-301,-1.4968427423236292e-301,1.113382639010201e-299
-50.0,-90.0,-2.1417861043418e-310,-2.12023495616355e-310,1.5772729877108486e-308
-48.0,-90.0,0.0,0.0,0.0
-46.0,-90.0,0.0,0.0,0.0
-44.0,-90.0,0.0,0.0,0.0
-42.0,-90.0,0.0,0.0,0.0
-40.0,-90.0,0.0,0.0,0.0
-38.0,-90.0,0.0,0.0,0.0
-36.0,-90.0,0.0,0.0,0.0
-34.0,-90.0,0.0,0.0,0.0
-32.0,-90.0,0.0,0.0,0.0
-30.0,-90.0,0.0,0.0,0.0
-28.0,-90.0,0.0,0.0,0.0
-26.0,-90.0,0.0,0.0,0.0
-24.0,-90.0,0.0,0.0,0.0
-22.0,-90.0,0.0,0.0,0.0
-20.0,-90.0,0.0,0.0,0.0
-18.0,-90.0,0.0,0.0,0.0
-16.0,-90.0,0.0,0.0,0.0
-14.0,-90.0,0.0,0.0,0.0
